"","x"
"1",1.30321119917748
"2",1.21821806510739
"3",1.79838804362942
"4",0.340524729872126
"5",1.92413219204566
"6",0.860530009161993
"7",1.19884407139065
"8",0.914166110096898
"9",1.17624308267203
"10",0.703167187924244
"11",0.864788073224184
"12",0.875352551914003
"13",0.899485771283928
"14",0.869061515152921
"15",0.402416721236236
"16",0.935373548169204
"17",0.565031646806058
"18",1.02427273748268
"19",0.737597116382921
"20",1.72744565965677
"21",0.920970101571668
"22",0.572220893741557
"23",1.14331395539143
"24",1.55003912908442
