"","x"
"1",0.394451328934755
"2",-1.08528627084956
"3",0.53158840332921
"4",0.634084339447617
"5",0.545761707835121
"6",0.482575078691812
"7",0.423472936092789
"8",0.513459492592804
"9",0.503745265305397
"10",0.483842658635894
"11",0.503582444167773
"12",0.499909230732975
